hhld_num,pers_num,age,sex,driver_lic,tran_pass,emp_stat,occupation,free_park,stu_stat,no_work,n_pers_trip,n_tran_trip,waterzn_emp,waterzn_sch,expf,waterzn_emp
4414991,5,12,F,N,N,O,O,O,S,O,2,0,0,121511,14.12,0
300138,3,20,M,Y,N,O,O,O,P,O,2,0,0,121394,13.87,0
352825,4,13,F,N,N,O,O,O,S,O,2,0,0,120783,43.63,0
112146,2,17,F,N,O,O,O,O,S,O,3,3,0,121959,56.33,0
147710,3,14,F,N,O,O,O,O,S,O,2,1,0,121166,67.5,0
379804,3,16,M,N,N,O,O,O,S,O,2,0,0,121257,20.44,0
446180,6,12,M,N,N,O,O,O,S,O,2,0,0,121496,26.97,0
240923,4,14,M,N,O,O,O,O,S,O,2,0,0,122085,27.7,0
242035,3,16,M,N,N,O,O,O,S,O,3,0,0,121493,15.85,0
247579,4,20,M,Y,O,O,O,O,S,O,2,2,0,121156,20.46,0
247579,5,20,M,Y,O,O,O,O,S,O,2,2,0,121156,20.46,0
248377,3,15,M,N,N,O,O,O,S,O,2,0,0,122123,42.29,0
286722,1,18,M,N,N,O,O,O,S,O,2,0,0,122015,28.72,0
950672,4,14,M,N,N,O,O,O,S,O,2,0,0,122123,33,0
950672,5,12,F,N,N,O,O,O,S,O,2,0,0,120394,33,0
620088,2,15,M,N,N,O,O,O,S,O,2,0,0,120040,18.85,0
733670,3,15,F,N,N,O,O,O,S,O,2,1,0,121882,25.72,0
872549,2,25,M,Y,O,O,O,O,S,O,3,1,0,120025,32.64,0
2104055,3,20,M,Y,N,O,O,O,S,O,2,0,0,120082,35.84,0
2104314,3,11,F,N,N,O,O,O,S,O,4,0,0,120497,27.27,0
215038,3,11,F,N,N,O,O,O,S,O,2,0,0,122043,41.42,0
304014,3,17,M,Y,N,O,O,O,S,O,2,0,0,121166,25.48,0
304014,4,13,F,N,N,O,O,O,S,O,2,0,0,120019,25.48,0
277743,3,12,M,N,N,O,O,O,S,O,2,0,0,121413,41.34,0
511506,2,23,M,N,P,O,O,O,S,O,0,0,0,121090,21.8,0
4438511,1,21,F,Y,O,O,O,O,S,O,6,0,0,121090,19.3,0
526208,4,16,F,N,N,O,O,O,S,O,2,0,0,121493,29.01,0
528136,3,15,F,N,N,O,O,O,S,O,2,0,0,121433,22.09,0
316711,5,13,F,N,N,O,O,O,S,O,2,0,0,120352,42.57,0
601793,2,19,F,Y,P,O,O,O,S,O,2,2,0,120017,36.3,0
610788,3,22,M,Y,O,O,O,O,S,O,0,0,0,121090,45.15,0
300083,2,16,F,Y,O,O,O,O,S,O,2,1,0,121166,21.65,0
300083,3,11,F,N,N,O,O,O,S,O,2,0,0,120068,21.65,0
206390,3,13,M,N,N,O,O,O,S,O,2,0,0,121390,10.65,0
762145,2,32,F,Y,N,O,O,O,S,O,2,2,0,120082,24.61,0
330445,4,12,M,N,N,O,O,O,S,O,2,0,0,121417,36.37,0
214794,1,41,F,Y,N,O,O,O,P,O,3,0,0,120025,43.74,0
334282,4,19,F,Y,O,O,O,O,S,O,4,2,0,121090,20.78,0
334282,6,14,M,N,N,O,O,O,S,O,2,0,0,120895,20.78,0
334631,2,13,M,N,N,O,O,O,S,O,3,0,0,121675,13.93,0
334631,3,11,M,N,N,O,O,O,S,O,2,0,0,121675,13.93,0
334687,3,13,F,N,N,O,O,O,S,O,4,0,0,121436,27,0
335113,3,21,F,Y,N,O,O,O,S,O,3,0,0,120082,29.04,0
335113,4,19,M,Y,N,O,O,O,S,O,2,0,0,120025,29.04,0
335320,3,22,M,Y,O,O,O,O,S,O,6,0,0,120017,13.7,0
337452,4,11,F,N,N,O,O,O,S,O,2,0,0,121217,81.79,0
218763,4,13,M,N,N,O,O,O,S,O,4,0,0,121095,17.73,0
339687,2,26,F,N,O,O,O,O,P,O,2,0,0,120040,12.72,0
341893,4,21,M,N,O,O,O,O,S,O,2,2,0,121156,40.58,0
343085,4,13,F,N,N,O,O,O,S,O,5,0,0,122034,88.7,0
322072,3,16,M,Y,N,O,O,O,S,O,2,0,0,121411,89.4,0
343989,1,31,M,N,O,O,O,O,S,O,2,2,0,121090,13.84,0
350315,3,12,F,N,N,O,O,O,S,O,5,0,0,121426,33.04,0
352294,3,18,M,Y,N,O,O,O,S,O,2,0,0,121090,13.36,0
352716,4,13,M,N,N,O,O,O,S,O,2,0,0,121455,16.59,0
352856,3,11,M,N,N,O,O,O,S,O,2,0,0,121413,16.96,0
353004,3,13,F,N,N,O,O,O,S,O,2,0,0,122001,30.2,0
359533,4,19,M,Y,N,O,O,O,S,O,2,0,0,120082,20,0
372550,3,14,F,N,N,O,O,O,S,O,2,0,0,121534,29.92,0
302646,4,11,F,N,N,O,O,O,S,O,2,0,0,121496,15.4,0
127848,5,16,F,N,N,O,O,O,S,O,2,0,0,122085,16.46,0
146821,4,22,M,Y,O,O,O,O,S,O,2,0,0,120082,21.9,0
197308,3,22,M,Y,N,O,O,O,S,O,4,0,0,120082,12.03,0
202698,2,15,M,N,N,O,O,O,S,O,2,0,0,121882,12.48,0
208313,2,11,M,N,N,O,O,O,S,O,3,0,0,121360,18.49,0
229306,3,13,F,N,N,O,O,O,S,O,3,0,0,120019,13.29,0
220938,3,15,F,N,N,O,O,O,S,O,2,0,0,121522,91.64,0
222325,4,17,F,N,N,O,O,O,S,O,0,0,0,121493,34.01,0
229025,4,11,F,N,N,O,O,O,S,O,2,0,0,121632,24.44,0
696760,1,21,M,Y,O,O,O,O,S,O,2,0,0,121090,11.57,0
406739,1,18,F,N,M,O,O,O,P,O,3,3,0,120082,60.03,0
406739,2,19,F,N,M,O,O,O,S,O,4,4,0,120082,60.03,0
406739,3,32,F,N,M,O,O,O,S,O,4,4,0,120082,60.03,0
417510,4,11,M,N,N,O,O,O,S,O,2,0,0,121407,52.1,0
